Round,expt_n,environment_info,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,10,PHM C06 SS LBD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4935,0.9600,0.6519,0.5466,0.0110,0.0316,0.0162,0.0126,0.2350,0.0450,0.0748,0.1248,0.1930,0.0369,0.0605,0.0996,models/0_10_PHM_C06_SS_LowNBD__RF_Model_28-Jun-2023_12-41.mdl,143.2929,14.2853,1.0822,12.6157
0,11,PHM C06 SS HBD,0.6960,0.3450,0.4550,0.5697,0.1314,0.1066,0.1190,0.1254,0.5456,0.5450,0.5415,0.5431,0.0649,0.0956,0.0628,0.0588,0.5039,0.9750,0.6644,0.5578,0.0107,0.0264,0.0140,0.0117,0.5944,0.5600,0.5731,0.5846,0.0692,0.1022,0.0764,0.0674,models/0_11_PHM_C06_SS_HighNBD__RF_Model_28-Jun-2023_12-43.mdl,154.7628,25.4666,1.8144,14.4130
0,12,PHM C01 MS NBD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4895,0.4950,0.4900,0.4892,0.1224,0.1462,0.1279,0.1229,0.4000,0.0400,0.0712,0.1354,0.4389,0.0459,0.0804,0.1477,0.4772,0.2350,0.3114,0.3904,0.1285,0.0914,0.1124,0.1269,models/0_12_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_12-47.mdl,198.5053,16.4166,1.6052,14.2523
0,13,PHM C04 MS NBD,0.7777,0.5250,0.6217,0.7044,0.0847,0.0677,0.0490,0.0527,0.4959,0.8450,0.6245,0.5403,0.0240,0.0599,0.0307,0.0256,0.4987,0.9750,0.6598,0.5526,0.0142,0.0354,0.0202,0.0161,0.4841,0.6800,0.5649,0.5134,0.0501,0.1033,0.0684,0.0561,models/0_13_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_12-51.mdl,186.7310,17.2909,1.5891,15.2806
0,14,PHM C06 MS NBD,1.0000,0.5250,0.6876,0.8457,0.0000,0.0425,0.0366,0.0223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4987,0.9800,0.6609,0.5529,0.0114,0.0350,0.0173,0.0131,0.5033,0.5700,0.5306,0.5130,0.0565,0.1378,0.0882,0.0667,models/0_14_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_12-54.mdl,187.4712,23.4286,1.7511,13.1636
1,0,Simulated NBD,1.0000,0.6500,0.7872,0.9021,0.0000,0.0408,0.0300,0.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4959,0.9700,0.6562,0.5496,0.0126,0.0483,0.0217,0.0153,0.1850,0.0450,0.0721,0.1133,0.1547,0.0438,0.0678,0.1015,models/1_0_Dasic_NoNBD__RF_Model_28-Jun-2023_12-58.mdl,51.6726,14.6015,1.0962,14.9131
1,1,Simulated LBD,0.8738,0.9900,0.9277,0.8945,0.0364,0.0211,0.0217,0.0304,0.4919,0.4200,0.4467,0.4706,0.0660,0.1358,0.1002,0.0787,0.4935,0.9650,0.6529,0.5469,0.0111,0.0412,0.0186,0.0133,0.4743,0.1000,0.1580,0.2484,0.2614,0.0624,0.0919,0.1273,models/1_1_Dasic_LowNBD__RF_Model_28-Jun-2023_12-59.mdl,56.6128,16.0921,1.1685,11.9646
1,2,Simulated HBD,1.0000,0.7300,0.8412,0.9288,0.0000,0.0888,0.0586,0.0286,0.5812,0.6100,0.5930,0.5854,0.0583,0.0966,0.0673,0.0590,0.3000,0.0200,0.0372,0.0774,0.4216,0.0258,0.0481,0.1004,0.2475,0.0650,0.1014,0.1550,0.2237,0.0669,0.1001,0.1463,models/1_2_Dasic_HighNBD__RF_Model_28-Jun-2023_13-01.mdl,46.1654,22.3789,1.3614,13.5017
1,3,PHM C01 SS NBD,0.8825,0.9950,0.9347,0.9026,0.0408,0.0158,0.0197,0.0326,0.5705,0.6200,0.5910,0.5776,0.0824,0.1358,0.1023,0.0878,0.5000,0.9850,0.6633,0.5546,0.0085,0.0242,0.0120,0.0095,0.6427,0.6900,0.6602,0.6484,0.0969,0.1150,0.0845,0.0878,models/1_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_13-02.mdl,158.7650,14.2339,1.0123,11.7168
1,4,PHM C01 SS LBD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6114,0.9750,0.7514,0.6606,0.0162,0.0354,0.0201,0.0171,0.2762,0.0600,0.0976,0.1580,0.2702,0.0615,0.0982,0.1562,models/1_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_13-05.mdl,107.5125,14.1787,1.0093,12.9082
1,5,PHM C01 SS HBD,0.7763,0.4150,0.5331,0.6505,0.1112,0.0851,0.0796,0.0688,0.5030,0.5150,0.5066,0.5038,0.0573,0.1180,0.0851,0.0674,0.5052,0.9800,0.6666,0.5594,0.0154,0.0350,0.0202,0.0169,0.5085,0.6600,0.5731,0.5323,0.0695,0.1150,0.0841,0.0740,models/1_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_13-08.mdl,129.3456,13.3039,1.0253,11.7254
1,6,PHM C04 SS NBD,0.7588,0.9750,0.8518,0.7932,0.0758,0.0354,0.0546,0.0684,0.5470,0.5600,0.5516,0.5484,0.0526,0.0810,0.0598,0.0534,0.5052,0.9850,0.6678,0.5597,0.0125,0.0242,0.0156,0.0135,0.5614,0.4050,0.4676,0.5185,0.0939,0.0685,0.0671,0.0761,models/1_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_13-10.mdl,158.8700,13.9445,0.9728,12.6128
1,7,PHM C04 SS LBD,0.6229,0.9000,0.7353,0.6633,0.0438,0.0882,0.0552,0.0468,0.5178,0.5550,0.5330,0.5232,0.0397,0.1012,0.0607,0.0451,0.5026,0.9800,0.6643,0.5568,0.0104,0.0350,0.0153,0.0117,0.2650,0.0500,0.0838,0.1413,0.2590,0.0527,0.0872,0.1441,models/1_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_13-13.mdl,141.4420,24.5369,1.7786,18.0979
1,8,PHM C04 SS HBD,0.6325,0.9800,0.7685,0.6806,0.0115,0.0350,0.0138,0.0111,0.4932,0.9150,0.6406,0.5431,0.0173,0.0580,0.0259,0.0195,0.4987,0.9750,0.6598,0.5527,0.0156,0.0354,0.0210,0.0173,0.4458,0.3300,0.3776,0.4152,0.0633,0.0789,0.0708,0.0655,models/1_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_13-17.mdl,130.7326,21.0296,2.9381,16.7359
1,9,PHM C06 SS NBD,0.5638,1.0000,0.7209,0.6176,0.0153,0.0000,0.0125,0.0147,0.5169,0.5850,0.5434,0.5260,0.1202,0.1796,0.1327,0.1212,0.5000,0.0250,0.0476,0.1042,0.5270,0.0264,0.0502,0.1098,0.3138,0.1450,0.1967,0.2523,0.1939,0.0926,0.1238,0.1572,models/1_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_13-19.mdl,161.1212,28.2091,1.1081,12.1672
1,10,PHM C06 SS LBD,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4807,0.5200,0.4974,0.4868,0.0687,0.0949,0.0726,0.0685,0.5000,0.9750,0.6610,0.5540,0.0105,0.0264,0.0144,0.0116,0.5167,0.9450,0.6678,0.5681,0.0220,0.0497,0.0267,0.0232,models/1_10_PHM_C06_SS_LowNBD__RF_Model_28-Jun-2023_13-23.mdl,101.0130,13.2598,0.9754,12.1526
1,11,PHM C06 SS HBD,0.7190,0.9800,0.8291,0.7593,0.0337,0.0258,0.0269,0.0312,0.4803,0.2050,0.2828,0.3717,0.1391,0.0832,0.1034,0.1222,0.6109,0.9450,0.7418,0.6573,0.0239,0.0725,0.0395,0.0289,0.4283,0.3000,0.3507,0.3926,0.1393,0.1054,0.1159,0.1271,models/1_11_PHM_C06_SS_HighNBD__RF_Model_28-Jun-2023_13-25.mdl,120.3689,13.3034,0.9854,11.8725
